state,start,end,duration_min,delta_pct,mean_slope,min_slope,max_slope
IRRIGATE,2025-10-27 05:48:00,2025-10-27 06:03:00,15.0,-0.20000000000000284,-0.03611111111111142,-0.1500000000000009,0.0833333333333333
IRRIGATE,2025-10-27 06:57:00,2025-10-27 07:09:00,12.0,0.05000000000001137,-0.0066666666666662985,-0.0500000000000019,0.099999999999999
FILL,2025-10-27 10:15:00,2025-10-27 10:33:00,18.0,0.04999999999999716,0.02857142857142897,-0.1500000000000009,0.1833333333333371
FILL,2025-10-27 10:48:00,2025-10-27 10:54:00,6.0,-0.10000000000000853,0.005555555555555233,-0.0500000000000019,0.0500000000000019
IRRIGATE,2025-10-27 15:39:00,2025-10-27 15:57:00,18.0,-0.3499999999999943,-0.028571428571428987,-0.2166666666666638,0.1500000000000056
IRRIGATE,2025-10-28 00:54:00,2025-10-28 01:27:00,33.0,-0.7999999999999972,-0.02638888888888896,-0.1666666666666666,0.25
IRRIGATE,2025-10-28 01:36:00,2025-10-28 01:48:00,12.0,0.3499999999999943,-0.023333333333333896,-0.2333333333333342,0.2166666666666685
IRRIGATE,2025-10-28 04:33:00,2025-10-28 04:48:00,15.0,-0.10000000000000853,-0.030555555555556183,-0.1833333333333323,0.1500000000000009
IRRIGATE,2025-10-28 23:12:00,2025-10-28 23:24:00,12.0,-0.15000000000000568,-0.023333333333332918,-0.1833333333333323,0.1499999999999962
IRRIGATE,2025-10-29 00:30:00,2025-10-29 00:42:00,12.0,0.0,-0.013333333333332559,-0.1166666666666647,0.1166666666666647
IRRIGATE,2025-10-29 01:15:00,2025-10-29 01:30:00,15.0,-0.20000000000000284,-0.022222222222221727,-0.1000000000000038,0.0833333333333333
IRRIGATE,2025-10-29 03:51:00,2025-10-29 04:21:00,30.0,-0.5,-0.022727272727272717,-0.1666666666666666,0.1333333333333305
FILL,2025-10-29 10:33:00,2025-10-29 10:42:00,9.0,0.25,0.05833333333333353,0.0,0.1500000000000009
FILL,2025-10-29 11:48:00,2025-10-29 12:00:00,12.0,0.3499999999999943,0.019999999999999806,-0.1333333333333352,0.1833333333333323
IRRIGATE,2025-10-29 15:15:00,2025-10-29 15:27:00,12.0,-0.09999999999999432,-0.01666666666666668,-0.1500000000000056,0.1500000000000056
IRRIGATE,2025-10-29 16:06:00,2025-10-29 16:18:00,12.0,0.14999999999999147,-0.01333333333333352,-0.1166666666666647,0.1166666666666647
IRRIGATE,2025-10-29 17:12:00,2025-10-29 17:27:00,15.0,-0.09999999999999432,-0.022222222222222532,-0.1166666666666647,0.1333333333333352
IRRIGATE,2025-10-29 19:09:00,2025-10-29 19:21:00,12.0,-0.25,-0.030000000000000176,-0.0833333333333333,0.0666666666666628
IRRIGATE,2025-10-29 19:33:00,2025-10-29 19:51:00,18.0,-0.20000000000001705,-0.019047619047619296,-0.083333333333338,0.099999999999999
IRRIGATE,2025-10-29 22:03:00,2025-10-29 22:15:00,12.0,-0.14999999999999147,-0.02666666666666608,-0.0833333333333333,0.0499999999999971
IRRIGATE,2025-10-30 00:42:00,2025-10-30 00:54:00,12.0,-0.15000000000000568,-0.02000000000000076,-0.0833333333333333,0.0500000000000019
IRRIGATE,2025-10-30 01:15:00,2025-10-30 01:30:00,15.0,-0.09999999999999432,-0.027777777777777762,-0.1333333333333352,0.0666666666666628
IRRIGATE,2025-10-30 01:39:00,2025-10-30 02:06:00,27.0,-1.125,-0.05333333333333312,-0.1833333333333371,0.1208333333333323
IRRIGATE,2025-10-30 05:06:00,2025-10-30 05:45:00,39.0,-1.1500000000000057,-0.03214285714285733,-0.2499999999999952,0.0999999999999943
IRRIGATE,2025-10-30 06:18:00,2025-10-30 06:30:00,12.0,-0.20000000000000284,-0.02666666666666608,-0.0666666666666676,0.0666666666666676
IRRIGATE,2025-10-30 07:12:00,2025-10-30 07:24:00,12.0,0.0,-0.026666666666666117,-0.1333333333333305,0.1666666666666666
IRRIGATE,2025-10-30 09:27:00,2025-10-30 09:54:00,27.0,-0.6833333333333229,-0.031111111111111218,-0.2666666666666704,0.2999999999999971
FILL,2025-10-30 10:09:00,2025-10-30 10:18:00,9.0,0.20000000000000284,0.045833333333334274,-0.0333333333333361,0.1166666666666695
